primary letter	primary number	name	type	sub type	author	completion date	acquisition date	insurance value	description
nmah	993445	Drug Jar	Utensil	Italian	Bristol-Myers Squibb Company	2010-12-31	2014-12-31	2159361	"This ovoid-shaped container is decorated with blue arches or false gadroons, and is marked G.C."" Some of the containers in this series have initials on the shoulder. The initials according to Dray may refer to the owner of the apothecary."
nmah	993457	Drug Jar	Utensil	Italian	Bristol-Myers Squibb Company	2011-12-31	2013-12-31	595997	"This ovoid-shaped container is decorated with blue arches or false gadroons. In Apothecary Jars by Rudolf Drey a jar similar to 1991.0664.0648 through 1991.0664.0664, is illustrated, and attributed to Savona, a seaport town in northern Italy, which uses a similar blue and manganese pallet."
nmah	993455	Drug Jar	Utensil	Italian	Bristol-Myers Squibb Company	2012-12-31	2014-12-31	3424722	"This ovoid-shaped container is decorated with blue arches or false gadroons. In Apothecary Jars by Rudolf Drey a jar similar to 1991.0664.0648 through 1991.0664.0664, is illustrated, and attributed to Savona, a seaport town in northern Italy which has a similar blue and manganese pallet."
nmah	993456	Drug Jar	Utensil	Italian	Bristol-Myers Squibb Company	2003-12-31	2015-12-31	3559361	"This ovoid-shaped container is decorated with blue arches or false gadroons. In Apothecary Jars by Rudolf Drey a jar similar to 1991.0664.0648 through 1991.0664.0664, is illustrated, and attributed to Savona, a seaport town in northern Italy, has a similar blue and manganese pallet."
nmah	993449	Drug Jar	Utensil	Italian	Bristol-Myers Squibb Company	2006-12-31	2015-12-31	3370884	"This albarello-shaped drug jar is decorated with blue arches or false gadroons. In Apothecary Jars by Rudolf Drey, a similar jar to 1991.0664.0648 through 1991.0664.0664 is illustrated, and attributed to Savona, a seaport town in northern Italy, and has a similar blue and manganese pallet. "
nmah	994539	Drug Jar	Utensil	Italian	Bristol-Myers Squibb Company	2003-12-31	2008-12-31	3397849	This albarello-shaped drug jar is decorated with blue arches or false gadroons. The waist of the albarello has been left blank allowing the apothecary to reuse the container for different medications and write in the appropriate label.
nmah	994148	ESS. CASCARILL. C	Utensil	Germany	Bristol-Myers Squibb Company	2000-12-31	2008-12-31	2256632	"This blown and molded square glass bottle has a flared lip. A baked enamel cartouche decorated with a white shield framed, blue stylized leaves, a yellow ribbon and capped by a crown. The bottle is marked ESS. CASCARILL.C."
nmah	994150	ESS. MYRRH	Utensil	Germany	Bristol-Myers Squibb Company	2010-12-31	2012-12-31	1414796	"This blown and molded square glass bottle has a narrow neck with a flared collar. The baked enamel cartouche decorates the clear glass with a white shield framed by blue stylized leaves and yellow ribbon, capped by a crown. "
nmah	994145	ESS. SCORD	Utensil	Germany	Bristol-Myers Squibb Company	2010-12-31	2013-12-31	2435687	"This blown and molded square shaped clear glass bottle has a flared lip. The baked enamel cartouche label consists of a white shield framed by blue stylized leaves and yellow ribbon, capped by a crown. The bottle is marked ESS. SCORD in black."
nmah	994147	TR. RHEI. APU	Utensil	Germany	Bristol-Myers Squibb Company	1999-12-31	2003-12-31	2430402	This blown and molded square glass bottle has a flared lip and a baked enamel cartouche with a white shield which is framed by blue stylized leaves and yellow ribbon and capped by a crown. It is marked TR. RHE. APU.
nmah	994149	ELIX. UTERIN. CR	Utensil	Germany	Bristol-Myers Squibb Company	2005-12-31	2007-12-31	1293093	"This blown and molded square glass bottle has had its neck broken off. A baked enamel cartouche decorates the clear glass with a white shield framed by blue stylized leaves and yellow ribbon, and capped by a crown. "
nmah	994146	ESS. SUCC	Utensil	Germany	Bristol-Myers Squibb Company	1994-12-31	2009-12-31	3727706	"This blown and molded square glass bottle has a flared lip and a circular stopper has a baked enamel cartouche decorates the clear glass container with a white shield framed by blue stylized leaves and yellow ribbon, and capped by a crown. "
nmah	994566	TR GUAIC VOLi	Utensil	Germany	Bristol-Myers Squibb Company	1993-12-31	2009-12-31	3409666	"This blown and molded square-shaped glass drug jar has rounded shoulders, and a narrow neck with a flared lip. The enamel label is a white shield outlined in yellow and blue. "
nmah	994139	AQ TARAXAC	Utensil	Germany	Bristol-Myers Squibb Company	2012-12-31	2013-12-31	3197482	This square shaped glass bottle is marked AQ TARAXAC. It would have held the root and leaves of the dandelion which were used as a tonic and diuretic.
nmah	994152	ESS LiGNOR	Utensil	Germany	Bristol-Myers Squibb Company	2011-12-31	2013-12-31	96253	This square-shaped bottle has an applied neck and a flared collar. The clear glass is decorated with a baked enamel cartouche. A white shield on a blue background is framed by a yellow C scroll design and capped by a crown. 
nmah	994153	ESS SUCCIN	Utensil	Germany	Bristol-Myers Squibb Company	2011-12-31	2012-12-31	3643094	This blown and molded square-shaped bottle has an applied neck and a flared collar. The clear glass container is decorated with a white baked enamel cartouche on a blue background. It is framed by a yellow C scroll design and capped by a crown. 
nmah	1353080	Braceros Waiting at Processing Center	Photography	Mexican	"Nadel, Leonard"	1956-12-31	1997-12-31	1320309	"Photograph: Braceros, holding their belongings, wait in lines organized by state of origin at the Monterrey Processing Center, Mexico."
nmah	1353083	Reviewing Braceros' Documents	Photography	Mexican	"Nadel, Leonard"	1956-12-31	1990-12-31	4380196	"Photograph: An official standing in a wooden shed reviews one bracero's documents while more wait in line at the Monterrey Processing Center, Mexico."
nmah	1353076	Braceros Waiting at Processing Center	Photography	Mexican	"Nadel, Leonard"	1956-12-31	1998-12-31	4093169	"Photograph: Beyond railroad tracks, braceros wait in a large group for processing at the Monterrey Processing Center, Mexico."
nmah	1353082	Reviewing Braceros' Documents	Photography	Mexican	"Nadel, Leonard"	1956-12-31	2003-12-31	2188777	"Photograph: An official standing in a wooden shed reviews one bracero's documents while more wait in line at the Monterrey Processing Center, Mexico."
nmah	1353078	Braceros on Railroad Tracks	Photography	Mexican	"Nadel, Leonard"	1956-12-31	2004-12-31	2709684	"Photograph: Braceros stand beside railroad tracks while waiting to enter the Monterrey Processing Center, Mexico."
nmah	1353077	Braceros on Railroad Tracks	Photography	Mexican	"Nadel, Leonard"	1956-12-31	2012-12-31	10617	"Photograph: Braceros stand beside railroad tracks while waiting to enter the Monterrey Processing Center, Mexico."
nmah	1353081	Reviewing Braceros' Documents	Photography	Mexican	"Nadel, Leonard"	1956-12-31	2000-12-31	4430936	"Photograph: An official standing in a wooden shed reviews one bracero's documents while more wait in line at the Monterrey Processing Center, Mexico."
nmah	1353084	Braceros Waiting to Board Buses	Photography	Mexican	"Nadel, Leonard"	1956-12-31	1998-12-31	471754	"Photograph: At the Monterrey Processing Center, Mexico, braceros wait in a long line to board buses to the Hidalgo Processing Center, Texas, on the U.S.-Mexico border."
nmah	1353079	Braceros at Processing Center	Photography	Mexican	"Nadel, Leonard"	1956-12-31	2005-12-31	2511523	"Photograph: Beyond barbed wire, an official armed with a rubber truncheon directs braceros while others wait in line at the Monterrey Processing Center, Mexico."
nmah	1353085	Braceros Waiting to Board Buses	Photography	Mexican	"Nadel, Leonard"	1956-12-31	1990-12-31	4354446	"Photograph: At the Monterrey Processing Center, Mexico, braceros wait in a long line to board buses to the Hidalgo Processing Center, Texas, on the U.S.-Mexico border."
nmah	1351212	"Chang-Yu-Sing, the Chinese Giant"	Photography	Chinese	Kenneth E. Behring Center	2003-12-31	2009-12-31	4421042	Albumen cabinet card of a very tall man wearing a long Chinese robe. The man's cheeks and a plant in the photograph are tinted. 
nmah	1002357	Saint Receiving Monk's Habit	Painting	French	"Fragonard, Jean-Honor"	1772-12-31	2007-12-31	4277166	"Abbo Jean-Claude-Richard de Saint-Non made this aquatint from a drawing by Jean Honoro Fragonard of an altarpiece by Guercino in the church of San Gregorio in Bologna, Italy. "
nmah	556195	"Amish ""Crazy-patch Block"" Quilt"	Textile	Amish	Kenneth E. Behring Center	1990-12-31	1999-12-31	428892	"The maker of this Amish quilt, probably from Pennsylvania, effectively utilizes sixteen-inch crazy-patched and embroidered blocks set diagonally to create this dramatic example. "
nmah	556192	"Amish ""Path Through the Woods"" Quilt"	Textile	Amish	Kenneth E. Behring Center	2003-12-31	2013-12-31	2410078	"Quilted in Topeka, Indiana, in the first half of the twentieth century, this is an example of the pattern referred to as Path through the Woods. "
nmah	556598	Swarey Family's Amish Quilt	Textile	Amish	Swarey family	1990-12-31	2013-12-31	616808	"This Amish quilt was in the Swarey family and probably was made by Mrs. Swarey's grandmother, Mrs. Peachy. "
nmah	556193	"Amish ""Bars"" Quilt"	Textile	Amish	Kenneth E. Behring Center	2005-12-31	2015-12-31	3849742	"Quilted in Lancaster County, Pennsylvania, in the early part of the twentieth century, this seemingly simple pattern of bars set in a contrasting color typifies Amish quilting. "
nmah	556194	"Amish ""Hanging Diamond"" Quilt"	Textile	Amish	Kenneth E. Behring Center	2013-12-31	2015-12-31	1299191	"Quilted in Lancaster County, Pennsylvania, in the early twentieth century, this is a beautiful example of Amish quilting utilizing a traditional pattern. "
nmah	556190	"Amish ""Garden of Eden"" Quilt"	Textile	Amish	Kenneth E. Behring Center	1998-12-31	2014-12-31	4887073	"Quilted in Mifflin County, Pennsylvania in the early twentieth century, this is an example of the Garden of Eden or Economy Block quilt pattern. "
